DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS,Departamento_idx,Provincia_idx,Distrito_idx,TipoPrueba_idx,prediction
AMAZONAS,BAGUA,IMAZA,2021,11,PCR,21,14.0,57.0,266.0,2.0,29.920990986385732
AMAZONAS,BAGUA,IMAZA,2021,12,AG,11,14.0,57.0,266.0,1.0,18.031088206524146
AMAZONAS,BAGUA,IMAZA,2021,12,PCR,13,14.0,57.0,266.0,2.0,23.259250330360373
AMAZONAS,BAGUA,LA PECA,2020,5,PR,3,14.0,57.0,351.0,0.0,96.55504307814408
AMAZONAS,BAGUA,LA PECA,2020,6,PCR,2,14.0,57.0,351.0,2.0,100.34962666979118
AMAZONAS,BAGUA,LA PECA,2020,6,PR,44,14.0,57.0,351.0,0.0,89.89330242211872
AMAZONAS,BAGUA,LA PECA,2020,7,PR,236,14.0,57.0,351.0,0.0,83.23156176609336
AMAZONAS,BAGUA,LA PECA,2020,7,PCR,2,14.0,57.0,351.0,2.0,93.68788601376582
AMAZONAS,BAGUA,LA PECA,2020,8,PR,250,14.0,57.0,351.0,0.0,76.56982111008256
AMAZONAS,BAGUA,LA PECA,2020,9,PR,96,14.0,57.0,351.0,0.0,69.9080804540572
AMAZONAS,BAGUA,LA PECA,2020,10,PR,35,14.0,57.0,351.0,0.0,63.24633979803184
AMAZONAS,BAGUA,LA PECA,2020,11,PR,16,14.0,57.0,351.0,0.0,56.584599142021034
AMAZONAS,BAGUA,LA PECA,2020,12,PR,10,14.0,57.0,351.0,0.0,49.922858485995675
AMAZONAS,BAGUA,LA PECA,2021,1,AG,2,14.0,57.0,351.0,1.0,82.93654424142733
AMAZONAS,BAGUA,LA PECA,2021,1,PR,14,14.0,57.0,351.0,0.0,77.7083821175911
AMAZONAS,BAGUA,LA PECA,2021,2,AG,16,14.0,57.0,351.0,1.0,76.27480358541652
AMAZONAS,BAGUA,LA PECA,2021,2,PCR,2,14.0,57.0,351.0,2.0,81.50296570925275
AMAZONAS,BAGUA,LA PECA,2021,2,PR,9,14.0,57.0,351.0,0.0,71.0466414615803
AMAZONAS,BAGUA,LA PECA,2021,3,PR,3,14.0,57.0,351.0,0.0,64.38490080555493
AMAZONAS,BAGUA,LA PECA,2021,3,PCR,1,14.0,57.0,351.0,2.0,74.84122505322739
AMAZONAS,BAGUA,LA PECA,2021,3,AG,25,14.0,57.0,351.0,1.0,69.61306292939116
AMAZONAS,BAGUA,LA PECA,2021,4,PR,7,14.0,57.0,351.0,0.0,57.723160149529576
AMAZONAS,BAGUA,LA PECA,2021,4,AG,78,14.0,57.0,351.0,1.0,62.951322273365804
AMAZONAS,BAGUA,LA PECA,2021,5,AG,55,14.0,57.0,351.0,1.0,56.289581617355
AMAZONAS,BAGUA,LA PECA,2021,5,PR,4,14.0,57.0,351.0,0.0,51.06141949351877
AMAZONAS,BAGUA,LA PECA,2021,6,AG,24,14.0,57.0,351.0,1.0,49.62784096132964
AMAZONAS,BAGUA,LA PECA,2021,6,PR,3,14.0,57.0,351.0,0.0,44.39967883749341
AMAZONAS,BAGUA,LA PECA,2021,7,AG,17,14.0,57.0,351.0,1.0,42.96610030530428
AMAZONAS,BAGUA,LA PECA,2021,7,PR,4,14.0,57.0,351.0,0.0,37.73793818146805
AMAZONAS,BAGUA,LA PECA,2021,8,PR,1,14.0,57.0,351.0,0.0,31.076197525457246
AMAZONAS,BAGUA,LA PECA,2021,8,AG,7,14.0,57.0,351.0,1.0,36.304359649293474
AMAZONAS,BAGUA,LA PECA,2021,9,AG,2,14.0,57.0,351.0,1.0,29.642618993268115
AMAZONAS,BAGUA,LA PECA,2021,9,PR,1,14.0,57.0,351.0,0.0,24.414456869431888
AMAZONAS,BAGUA,LA PECA,2021,10,AG,10,14.0,57.0,351.0,1.0,22.980878337242757
AMAZONAS,BAGUA,LA PECA,2021,10,PR,1,14.0,57.0,351.0,0.0,17.75271621340653
AMAZONAS,BAGUA,LA PECA,2021,11,AG,9,14.0,57.0,351.0,1.0,16.31913768123195
AMAZONAS,BAGUA,LA PECA,2021,12,PCR,5,14.0,57.0,351.0,2.0,14.88555914904282
AMAZONAS,BAGUA,LA PECA,2021,12,AG,26,14.0,57.0,351.0,1.0,9.657397025206592
AMAZONAS,BAGUA,LA PECA,2021,12,PR,1,14.0,57.0,351.0,0.0,4.429234901370364
AMAZONAS,BONGARA,CHISQUILLA,2020,8,PR,1,14.0,102.0,1659.0,0.0,-70.17204513981414
AMAZONAS,BONGARA,CHISQUILLA,2021,4,AG,1,14.0,102.0,1659.0,1.0,-83.7905439765309
AMAZONAS,BONGARA,CHURUJA,2020,8,PR,10,14.0,102.0,1213.0,0.0,-26.23479494138155
AMAZONAS,BONGARA,CHURUJA,2020,9,PR,2,14.0,102.0,1213.0,0.0,-32.89653559740691
AMAZONAS,BONGARA,CHURUJA,2020,10,PR,3,14.0,102.0,1213.0,0.0,-39.55827625343227
AMAZONAS,BONGARA,CHURUJA,2020,11,PR,1,14.0,102.0,1213.0,0.0,-46.220016909443075
AMAZONAS,BONGARA,CHURUJA,2021,1,PR,1,14.0,102.0,1213.0,0.0,-25.09623393387301
AMAZONAS,BONGARA,CHURUJA,2021,1,PCR,1,14.0,102.0,1213.0,2.0,-14.639909686200554
AMAZONAS,BONGARA,CHURUJA,2021,2,AG,1,14.0,102.0,1213.0,1.0,-26.529812466047588
AMAZONAS,BONGARA,CHURUJA,2021,4,AG,5,14.0,102.0,1213.0,1.0,-39.853293778098305
AMAZONAS,BONGARA,CHURUJA,2021,5,AG,10,14.0,102.0,1213.0,1.0,-46.51503443410911
AMAZONAS,BONGARA,CHURUJA,2021,5,PR,1,14.0,102.0,1213.0,0.0,-51.74319655794534
AMAZONAS,BONGARA,CHURUJA,2021,6,AG,4,14.0,102.0,1213.0,1.0,-53.17677509013447
AMAZONAS,BONGARA,CHURUJA,2021,7,AG,1,14.0,102.0,1213.0,1.0,-59.83851574615983
